Name,Color,What is your gender?,What is your favorite season?,What time of day do you like the most?,What is your favorite school subject?,What is your preferred weather?,Do you prefer warm or cool weather?,Are you introverted or extroverted?,What is your favorite music genre?,What is your favorite movie genre?,Do you use light or dark mode?
Options,N/A,"[Male,Female]","[Summer,Autumn,Winter,Spring]","[Morning,Afternoon,Evening,Night]","[Math,Science,Language,History,Art,Gym]","[Sunny,Rainy,Cloudy,Snowy]","[Warm,Cool]","[Introverted,Extroverted]","[Pop,Rock,Jazz,Classical,Country,HipHop,Electronic,Indie]","[Action,Drama,Fantasy,SciFi,Horror,Romance]","[Light,Dark]"
Person_1,"106, 229, 57",Female,Spring,Evening,Gym,Cloudy,Warm,Introverted,Country,SciFi,Light
Person_2,"229, 122, 57",Female,Summer,Night,Science,Cloudy,Warm,Introverted,Jazz,SciFi,Dark
Person_3,"229, 164, 57",Female,Summer,Evening,Math,Sunny,Warm,Extroverted,Rock,Romance,Light
Person_4,"229, 122, 57",Male,Summer,Afternoon,Science,Cloudy,Warm,Introverted,HipHop,Horror,Light
Person_5,"74, 109, 165",Male,Winter,Night,Language,Snowy,Cool,Extroverted,Rock,SciFi,Dark
Person_6,"106, 229, 57",Male,Spring,Afternoon,Science,Cloudy,Warm,Introverted,HipHop,SciFi,Dark
Person_7,"74, 109, 165",Female,Winter,Afternoon,Math,Snowy,Cool,Extroverted,Rock,Horror,Dark
Person_8,"229, 122, 57",Male,Summer,Night,Science,Sunny,Warm,Introverted,Rock,Horror,Dark
Person_9,"65, 229, 57",Male,Spring,Morning,History,Cloudy,Warm,Extroverted,Pop,Drama,Dark
Person_10,"229, 122, 57",Female,Summer,Night,Science,Cloudy,Warm,Introverted,Indie,Romance,Light
Person_11,"165, 123, 74",Female,Autumn,Afternoon,Science,Snowy,Cool,Extroverted,Country,SciFi,Dark
Person_12,"106, 229, 57",Male,Spring,Night,Art,Sunny,Warm,Introverted,Rock,Romance,Light
Person_13,"229, 164, 57",Male,Summer,Night,Gym,Sunny,Warm,Extroverted,Pop,Drama,Light
Person_14,"106, 229, 57",Female,Spring,Afternoon,Language,Cloudy,Warm,Introverted,Jazz,Drama,Dark
Person_15,"74, 109, 165",Male,Winter,Evening,History,Snowy,Cool,Extroverted,Country,Horror,Dark
Person_16,"74, 131, 165",Male,Winter,Evening,Art,Rainy,Cool,Introverted,Rock,Drama,Light
Person_17,"165, 123, 74",Female,Autumn,Morning,Math,Snowy,Cool,Extroverted,Indie,Horror,Dark
Person_18,"65, 229, 57",Female,Spring,Night,Language,Cloudy,Warm,Extroverted,Electronic,Action,Dark
Person_19,"165, 101, 74",Female,Autumn,Morning,Art,Rainy,Cool,Introverted,Country,Romance,Light
Person_20,"229, 122, 57",Male,Summer,Night,Math,Sunny,Warm,Introverted,Rock,Action,Light
Person_21,"165, 123, 74",Male,Autumn,Night,Science,Snowy,Cool,Extroverted,HipHop,Action,Light
Person_22,"106, 229, 57",Female,Spring,Evening,Art,Sunny,Warm,Introverted,Pop,SciFi,Dark
Person_23,"229, 164, 57",Female,Summer,Morning,Science,Cloudy,Warm,Extroverted,Classical,Romance,Dark
Person_24,"229, 122, 57",Male,Summer,Morning,History,Sunny,Warm,Introverted,Rock,Horror,Light
